date,tournament,neutral,oc,total,btts,pH,pD,pA,p_o25,p_btts,rps,fav,comp,fav_oc,fb
2024-11-15,FIFA World Cup qualification,False,0,9,1,0.7840440724981942,0.15502891823754777,0.0609270092642581,0.5109187537857257,0.33163902551003127,0.02517453154052609,0.7840440724981942,WC qual,1,7
2024-11-15,FIFA World Cup qualification,False,2,4,0,0.03159651561646136,0.12273144137753601,0.8456720430060027,0.5107038019280369,0.23410580176206375,0.012407729054521194,0.8456720430060027,WC qual,1,8
2024-11-15,Friendly,False,0,3,1,0.9675859531373183,0.030955522974673813,0.0014585238880078057,0.7054466089534844,0.047434842951468895,0.0005263988629740067,0.9675859531373183,Friendly,1,9
2024-11-15,African Cup of Nations qualification,True,2,3,1,0.33577822021372683,0.25619514500435264,0.40802663478192047,0.5110922968689425,0.5508290301513475,0.23158973914875786,0.40802663478192047,Other,1,4
2024-11-15,African Cup of Nations qualification,False,2,6,1,0.12336455749308634,0.2001581001524653,0.6764773423544483,0.5112180786026449,0.4421827738618046,0.05994286202775292,0.6764773423544483,Other,1,6
2024-11-15,African Cup of Nations qualification,False,1,2,1,0.47293987661160075,0.2503617825348439,0.2766983408535554,0.5107512924388001,0.5402129323206983,0.1501170493602532,0.47293987661160075,Other,0,4
2024-11-15,African Cup of Nations qualification,True,1,2,1,0.1925165005961169,0.2304697899603095,0.5770137094435737,0.5107946744783785,0.5036270810778466,0.1850037119438037,0.5770137094435737,Other,0,5
2024-11-15,African Cup of Nations qualification,False,1,2,1,0.5470696917856035,0.2374847957121098,0.21544551250228666,0.5105936409685359,0.5166372220068313,0.1728510082638841,0.5470696917856035,Other,0,5
2024-11-15,African Cup of Nations qualification,False,0,1,0,0.24800888484425837,0.24522124673643747,0.506769868419304,0.5109302189111227,0.5312316284592324,0.4111531684054474,0.506769868419304,Other,0,5
2024-11-15,African Cup of Nations qualification,False,2,1,0,0.2690540647202106,0.24911371674094968,0.4818322185388396,0.5109303841245884,0.538209587454266,0.17044396974342402,0.4818322185388396,Other,1,4
2024-11-15,African Cup of Nations qualification,True,1,2,1,0.36055122178082655,0.25706819237725026,0.38238058584192336,0.5109306705965321,0.5521488932281521,0.13810604797822956,0.38238058584192336,Other,0,3
2024-11-15,African Cup of Nations qualification,False,2,2,0,0.27218282101184144,0.24965554298717957,0.478161636000979,0.5107817898099041,0.538996643581537,0.17319938309756938,0.478161636000979,Other,1,4
2024-11-15,FIFA World Cup qualification,False,0,5,1,0.32931206641860356,0.25586179918286905,0.41482613439852734,0.5109306313592921,0.5500618484889831,0.31095151301585433,0.41482613439852734,WC qual,0,4
2024-11-15,African Cup of Nations qualification,False,1,2,1,0.2216927645343965,0.23908339425293784,0.5392238412126655,0.5109299221575211,0.5200100717270901,0.1699550163895227,0.5392238412126655,Other,0,5
2024-11-15,FIFA World Cup qualification,False,1,0,0,0.5259916214284857,0.24170793641734498,0.23230044215416917,0.5110456160037217,0.5249800590288992,0.165315340618995,0.5259916214284857,WC qual,0,5
2024-11-15,CONCACAF Nations League,True,2,4,0,0.45646790422450534,0.25231773698323195,0.2912143587922629,0.5109305075119678,0.5438751943120103,0.3553700163846878,0.45646790422450534,Other,0,4
2024-11-15,CONCACAF Nations League,False,0,2,0,0.1771318732564776,0.22500296647414034,0.5978651602693821,0.5109290544378696,0.49319752484601603,0.5172773519371637,0.5978651602693821,Other,0,5
2024-11-15,UEFA Nations League,False,0,6,1,0.7366780576949967,0.1765491400213928,0.08677280228361064,0.5111412863989425,0.38756751244556914,0.038433982257715014,0.7366780576949967,Other,1,7
2024-11-15,UEFA Nations League,False,0,1,0,0.22817922972324106,0.24073477705975885,0.531085993217,0.51093000652603,0.5230560184199484,0.43887981681094856,0.531085993217,Other,0,5
2024-11-15,UEFA Nations League,False,2,3,1,0.15007393587657547,0.21376879159156306,0.6361572725318616,0.5109281469130381,0.4706495250504695,0.0774518582804703,0.6361572725318616,Other,1,6
2024-11-15,UEFA Nations League,False,1,2,1,0.4872031822615668,0.2483901694761714,0.26440664826226185,0.5106684923162644,0.5366098344893743,0.15363890822554044,0.4872031822615668,Other,0,4
2024-11-15,CONCACAF Nations League,False,2,1,0,0.1287916793864861,0.20320241699227243,0.6680059036212416,0.5109270886866456,0.44841592711001715,0.06340368835476992,0.6680059036212416,Other,1,6
2024-11-15,UEFA Nations League,False,1,0,0,0.6813829208875826,0.1983985023285245,0.1202185767838928,0.5111366422988058,0.4382219717820658,0.2393675955406192,0.6813829208875826,Other,0,6
2024-11-15,UEFA Nations League,False,0,2,0,0.563146977738116,0.23379910118994826,0.2030539210719357,0.5109296286099025,0.5101270490031937,0.11603572896101504,0.563146977738116,Other,1,5
2024-11-15,UEFA Nations League,False,0,3,1,0.4024105576152549,0.25648925954764323,0.3411001828371021,0.5109306519486815,0.5511485324646969,0.23673123819060746,0.4024105576152549,Other,1,4
2024-11-15,UEFA Nations League,False,1,2,1,0.1352599934959336,0.20655119553744772,0.6581888109666187,0.5110935958644091,0.4557843997215035,0.22575388836108568,0.6581888109666187,Other,0,6
2024-11-15,CONCACAF Nations League,False,0,5,0,0.7158625625324473,0.18521298898460642,0.09892444848294629,0.5109247398710097,0.40801372633940364,0.04526006493914127,0.7158625625324473,Other,1,7
2024-11-15,CONCACAF Nations League,False,0,6,1,0.6463014968359582,0.21048546585110456,0.1432130373129373,0.5111606819477166,0.4641427753264381,0.07280630259844023,0.6463014968359582,Other,1,6
2024-11-15,CONCACAF Nations League,True,2,8,0,0.05471712547280966,0.14902405080977124,0.7962588237174192,0.5109171688804853,0.31492683479517947,0.02225221536650845,0.7962588237174192,Other,1,7
2024-11-15,CONCACAF Nations League,False,2,5,1,0.2409202489160422,0.24366940542075619,0.5154103456632018,0.5111072936541121,0.528631551314391,0.14643484971401272,0.5154103456632018,Other,1,5
2024-11-15,CONCACAF Nations League,False,2,6,0,0.08751292216505042,0.1771515528512957,0.735335524983654,0.5109234229095104,0.38875254930182157,0.03885289794077213,0.735335524983654,Other,1,7
2024-11-15,UEFA Nations League,False,2,1,0,0.4425603712577246,0.2536940420290358,0.3037455867132395,0.5111607626019619,0.5465585349608344,0.340314945114533,0.4425603712577246,Other,0,4
