match_date,team,opponent,days_rest,is_back_to_back,prev_city,city,travel_km
2026-06-18,South Africa,Czech Republic,7.0,False,Mexico City,Atlanta,2171.0
2026-06-24,South Africa,South Korea,6.0,False,Atlanta,Monterrey,1771.5
2026-06-11,South Korea,Czech Republic,,False,,Guadalajara,
2026-06-18,South Korea,Mexico,7.0,False,Guadalajara,Guadalajara,0.0
2026-06-24,South Korea,South Africa,6.0,False,Guadalajara,Monterrey,644.8
2026-06-15,Spain,Cape Verde,,False,,Atlanta,
2026-06-21,Spain,Saudi Arabia,6.0,False,Atlanta,Atlanta,0.0
2026-06-26,Spain,Uruguay,5.0,False,Atlanta,Guadalajara,2373.1
2026-06-14,Sweden,Tunisia,,False,,Monterrey,
2026-06-20,Sweden,Netherlands,6.0,False,Monterrey,Houston,652.5
2026-06-25,Sweden,Japan,5.0,False,Houston,Dallas (Arlington),376.3
2026-06-13,Switzerland,Qatar,,False,,San Francisco Bay Area,
2026-06-18,Switzerland,Bosnia & Herzegovina,5.0,False,San Francisco Bay Area,Los Angeles (Inglewood),504.6
2026-06-24,Switzerland,Canada,6.0,False,Los Angeles (Inglewood),Vancouver,1748.5
2026-06-14,Tunisia,Sweden,,False,,Monterrey,
2026-06-20,Tunisia,Japan,6.0,False,Monterrey,Monterrey,0.0
2026-06-25,Tunisia,Netherlands,5.0,False,Monterrey,Kansas City,1582.1
2026-06-13,Turkey,Australia,,False,,Vancouver,
2026-06-19,Turkey,Paraguay,6.0,False,Vancouver,San Francisco Bay Area,1323.5
2026-06-25,Turkey,USA,6.0,False,San Francisco Bay Area,Los Angeles (Inglewood),504.6
2026-06-12,USA,Paraguay,,False,,Los Angeles (Inglewood),
2026-06-19,USA,Australia,7.0,False,Los Angeles (Inglewood),Seattle,1553.1
2026-06-25,USA,Turkey,6.0,False,Seattle,Los Angeles (Inglewood),1553.1
2026-06-15,Uruguay,Saudi Arabia,,False,,Miami (Miami Gardens),
2026-06-21,Uruguay,Cape Verde,6.0,False,Miami (Miami Gardens),Miami (Miami Gardens),0.0
2026-06-26,Uruguay,Spain,5.0,False,Miami (Miami Gardens),Guadalajara,2439.1
2026-06-17,Uzbekistan,Colombia,,False,,Mexico City,
2026-06-23,Uzbekistan,Portugal,6.0,False,Mexico City,Houston,1214.6
2026-06-27,Uzbekistan,DR Congo,4.0,True,Houston,Atlanta,1134.7
2026-07-15,W100,W99,,False,,Atlanta,
2026-07-19,W101,W102,,False,,New York/New Jersey,
2026-07-19,W102,W101,,False,,New York/New Jersey,
2026-07-04,W73,W75,,False,,Houston,
2026-07-04,W74,W77,,False,,Philadelphia,
2026-07-04,W75,W73,,False,,Houston,
2026-07-05,W76,W78,,False,,New York/New Jersey,
2026-07-04,W77,W74,,False,,Philadelphia,
2026-07-05,W78,W76,,False,,New York/New Jersey,
2026-07-05,W79,W80,,False,,Mexico City,
2026-07-05,W80,W79,,False,,Mexico City,
2026-07-06,W81,W82,,False,,Seattle,
2026-07-06,W82,W81,,False,,Seattle,
2026-07-06,W83,W84,,False,,Dallas (Arlington),
2026-07-06,W84,W83,,False,,Dallas (Arlington),
2026-07-07,W85,W87,,False,,Vancouver,
2026-07-07,W86,W88,,False,,Atlanta,
2026-07-07,W87,W85,,False,,Vancouver,
2026-07-07,W88,W86,,False,,Atlanta,
2026-07-09,W89,W90,,False,,Boston (Foxborough),
2026-07-09,W90,W89,,False,,Boston (Foxborough),
2026-07-11,W91,W92,,False,,Miami (Miami Gardens),
2026-07-11,W92,W91,,False,,Miami (Miami Gardens),
2026-07-10,W93,W94,,False,,Los Angeles (Inglewood),
2026-07-10,W94,W93,,False,,Los Angeles (Inglewood),
2026-07-11,W95,W96,,False,,Kansas City,
2026-07-11,W96,W95,,False,,Kansas City,
2026-07-14,W97,W98,,False,,Dallas (Arlington),
2026-07-14,W98,W97,,False,,Dallas (Arlington),
2026-07-15,W99,W100,,False,,Atlanta,
