team,rating,n_matches,last_played
Nicaragua,1475.35,222,2026-06-05
Chagos Islands,1474.92,16,2019-12-29
Vanuatu,1473.5,214,2026-06-06
Zimbabwe,1472.49,496,2026-05-30
Kuwait,1471.53,684,2026-06-05
Sierra Leone,1471.23,301,2026-06-09
Mozambique,1470.82,375,2026-06-09
Sint Maarten,1469.94,60,2026-03-30
Greenland,1469.63,77,2024-06-01
Åland Islands,1467.43,51,2023-07-13
El Salvador,1467.13,614,2026-06-06
Iceland,1467.03,522,2026-06-09
Saint Vincent and the Grenadines,1466.14,236,2026-03-29
Comoros,1465.16,151,2026-06-09
Trinidad and Tobago,1464.6,753,2026-06-09
Two Sicilies,1463.92,6,2023-07-02
Rwanda,1463.88,280,2026-03-30
Cuba,1463.7,397,2026-03-29
Kyrgyzstan,1463.6,191,2026-06-09
Ticino,1462.72,2,2023-08-06
Hong Kong,1457.07,447,2026-06-09
Eritrea,1455.52,71,2019-09-10
Martinique,1447.04,331,2026-03-29
Finland,1444.13,818,2026-06-05
Liberia,1443.94,302,2026-06-09
Sudan,1441.89,469,2026-01-03
Tuvalu,1440.28,39,2023-11-30
Bulgaria,1435.98,736,2026-06-05
Malawi,1433.5,644,2026-06-09
Singapore,1432.75,696,2026-06-05
Falkland Islands,1431.12,33,2023-07-13
Marshall Islands,1430.02,2,2025-08-16
Fiji,1429.92,268,2026-06-06
Saint Helena,1429.42,8,2023-07-13
Northern Mariana Islands,1426.72,30,2024-04-07
Mauritania,1426.02,273,2026-06-08
Samoa,1424.51,71,2024-11-18
Lesotho,1420.96,296,2026-06-04
Equatorial Guinea,1415.5,179,2026-06-09
Ethiopia,1414.25,409,2026-06-09
Kazakhstan,1412.54,269,2026-06-09
Tibet,1411.06,21,2025-07-03
Aruba,1408.54,152,2026-06-06
Tanzania,1407.71,599,2026-03-29
Montenegro,1400.68,170,2026-06-05
Faroe Islands,1400.53,287,2026-06-09
Belize,1398.43,121,2026-03-30
Bermuda,1395.11,198,2026-06-06
Namibia,1393.94,279,2026-03-28
Burundi,1393.06,218,2026-05-26
Saint Kitts and Nevis,1391.76,226,2026-03-30
Tonga,1389.0,68,2024-09-09
Botswana,1380.14,332,2026-03-31
Cook Islands,1379.07,53,2024-09-06
Guinea-Bissau,1378.13,190,2026-03-31
Grenada,1374.55,260,2026-05-16
Frøya,1367.79,37,2025-07-17
Pakistan,1367.74,251,2026-06-10
Central African Republic,1367.21,138,2026-06-09
Montserrat,1366.15,66,2025-06-10
Solomon Islands,1362.92,214,2026-03-30
Congo,1361.52,406,2025-10-14
Eswatini,1358.71,274,2025-10-13
Alderney,1356.99,135,2022-04-23
Cambodia,1355.75,295,2026-06-09
Estonia,1346.86,550,2026-06-09
Bangladesh,1346.44,305,2026-06-05
Dominica,1346.3,215,2026-03-30
South Sudan,1341.34,78,2025-11-25
Bonaire,1338.72,44,2026-06-06
British Virgin Islands,1337.7,123,2026-06-06
India,1337.33,534,2026-06-09
Myanmar,1336.96,512,2026-06-09
United States Virgin Islands,1333.09,78,2026-03-28
Mauritius,1328.99,325,2025-10-13
Turks and Caicos Islands,1326.22,52,2025-08-16
Saint Lucia,1321.19,230,2026-03-27
São Tomé and Príncipe,1316.24,71,2025-10-13
Cyprus,1315.32,426,2026-06-07
Afghanistan,1313.2,147,2026-06-10
Somalia,1313.14,124,2025-11-26
Luxembourg,1312.45,467,2026-06-06
Sri Lanka,1311.02,251,2025-11-18
Malta,1310.32,458,2026-06-05
Azerbaijan,1307.3,310,2026-06-09
Barbados,1303.53,302,2026-03-29
Armenia,1303.36,272,2026-06-09
Nepal,1302.53,268,2025-11-18
Chad,1301.01,138,2025-11-17
Guam,1299.03,123,2026-06-06
Mongolia,1287.44,103,2026-06-05
Latvia,1283.77,461,2026-06-09
Antigua and Barbuda,1275.82,231,2025-11-18
Taiwan,1273.86,245,2025-11-18
Cayman Islands,1267.47,120,2026-06-06
American Samoa,1266.42,55,2026-03-28
Lithuania,1263.65,433,2026-06-09
Timor-Leste,1256.67,86,2025-11-18
Gibraltar,1253.2,160,2026-06-06
Djibouti,1250.87,111,2025-11-26
Brunei,1249.99,137,2025-11-18
Laos,1247.38,224,2025-11-19
Moldova,1245.8,299,2026-06-09
Macau,1231.63,148,2026-03-29
Maldives,1226.19,233,2026-06-01
Bhutan,1226.01,110,2026-06-04
Anguilla,1222.4,91,2026-03-29
Seychelles,1193.51,176,2025-10-14
Bahamas,1186.06,67,2026-03-29
Andorra,1184.98,229,2026-06-07
Liechtenstein,1074.83,259,2026-06-07
San Marino,1052.64,225,2026-06-09
