key,HomeTeam,date_str,lat,lon,precipitation,wind_speed,temperature
Bordeaux|2019-08-17,Bordeaux,2019-08-17,44.8417,-0.5731,0.0,17.7,21.7
Metz|2019-08-17,Metz,2019-08-17,49.11,6.1778,13.1,19.3,18.7
Nimes|2019-08-17,Nimes,2019-08-17,43.8381,4.3806,0.0,18.1,23.9
Toulouse|2019-08-17,Toulouse,2019-08-17,43.5833,1.4333,0.0,12.0,23.5
Lens|2019-08-17,Lens,2019-08-17,50.4333,2.8167,2.6,26.4,18.2
St Etienne|2019-08-18,St Etienne,2019-08-18,45.4608,4.3906,8.2,21.6,24.0
Reims|2019-08-18,Reims,2019-08-18,49.2389,4.0531,7.8,30.8,19.0
Rennes|2019-08-18,Rennes,2019-08-18,48.1078,-1.7144,9.6,27.9,18.0
Auxerre|2019-08-19,Auxerre,2019-08-19,47.7833,3.5667,0.0,12.5,18.2
Ajaccio|2019-08-23,Ajaccio,2019-08-23,41.92,8.7381,1.5,9.6,24.2
Clermont|2019-08-23,Clermont,2019-08-23,45.7731,3.1,0.0,8.7,22.3
Le Havre|2019-08-23,Le Havre,2019-08-23,49.4833,0.1,0.0,15.6,19.1
Le Mans|2019-08-23,Le Mans,2019-08-23,48.0039,0.1956,0.0,15.0,20.9
Niort|2019-08-23,Niort,2019-08-23,46.3278,-0.4603,0.0,17.6,22.9
Rodez|2019-08-23,Rodez,2019-08-23,44.35,2.5667,0.0,8.8,21.7
Sochaux|2019-08-23,Sochaux,2019-08-23,47.5,6.8167,0.0,16.7,17.7
Amiens|2019-08-24,Amiens,2019-08-24,49.8941,2.2831,0.0,10.9,20.7
Angers|2019-08-24,Angers,2019-08-24,47.4667,-0.55,0.0,12.8,23.5
Brest|2019-08-24,Brest,2019-08-24,48.39,-4.4833,0.0,15.9,19.5
Dijon|2019-08-24,Dijon,2019-08-24,47.3167,5.05,0.0,9.7,21.1
Troyes|2019-08-24,Troyes,2019-08-24,48.2956,4.0667,0.0,11.0,22.5
Monaco|2019-08-25,Monaco,2019-08-25,43.7278,7.4153,0.0,12.1,26.5
Strasbourg|2019-08-25,Strasbourg,2019-08-25,48.5628,7.7519,0.0,9.0,22.7
Paris SG|2019-08-25,Paris SG,2019-08-25,48.8414,2.253,0.0,10.8,24.1
Guingamp|2019-08-26,Guingamp,2019-08-26,48.5608,-3.15,0.0,12.8,18.4
Montpellier|2019-08-27,Montpellier,2019-08-27,43.6222,3.8128,0.0,10.7,23.6
Lille|2019-08-28,Lille,2019-08-28,50.6167,3.1333,1.1,18.6,22.5
Nice|2019-08-28,Nice,2019-08-28,43.705,7.2603,8.3,16.6,25.7
Metz|2019-08-30,Metz,2019-08-30,49.11,6.1778,0.0,10.2,21.7
Auxerre|2019-08-30,Auxerre,2019-08-30,47.7833,3.5667,0.0,13.8,21.6
Caen|2019-08-30,Caen,2019-08-30,49.1667,-0.3667,0.0,16.5,17.4
Le Mans|2019-08-30,Le Mans,2019-08-30,48.0039,0.1956,0.0,12.2,19.9
Nancy|2019-08-30,Nancy,2019-08-30,48.6833,6.2,0.0,11.5,22.0
Orleans|2019-08-30,Orleans,2019-08-30,47.9029,1.9039,0.0,12.3,21.3
Valenciennes|2019-08-30,Valenciennes,2019-08-30,50.3667,3.5167,0.0,7.6,16.5
Lyon|2019-08-31,Lyon,2019-08-31,45.7654,4.9822,0.0,19.6,24.7
Angers|2019-08-31,Angers,2019-08-31,47.4667,-0.55,0.0,23.8,21.0
Nantes|2019-08-31,Nantes,2019-08-31,47.2558,-1.5247,0.1,25.3,19.7
Nimes|2019-08-31,Nimes,2019-08-31,43.8381,4.3806,0.1,12.8,26.4
Toulouse|2019-08-31,Toulouse,2019-08-31,43.5833,1.4333,4.2,21.4,24.5
Lorient|2019-08-31,Lorient,2019-08-31,47.75,-3.3667,0.4,24.4,16.4
Reims|2019-09-01,Reims,2019-09-01,49.2389,4.0531,0.0,15.9,18.0
Rennes|2019-09-01,Rennes,2019-09-01,48.1078,-1.7144,0.2,19.0,16.2
Strasbourg|2019-09-01,Strasbourg,2019-09-01,48.5628,7.7519,0.0,22.4,21.7
Marseille|2019-09-01,Marseille,2019-09-01,43.27,5.3953,0.0,24.2,25.9
Paris FC|2019-09-02,Paris FC,2019-09-02,48.8167,2.3,0.0,14.0,16.6
Grenoble|2019-09-02,Grenoble,2019-09-02,45.1667,5.7167,1.3,13.0,18.7
Lille|2019-09-13,Lille,2019-09-13,50.6167,3.1333,0.5,19.5,17.6
Amiens|2019-09-13,Amiens,2019-09-13,49.8941,2.2831,1.0,17.4,18.0
Ajaccio|2019-09-13,Ajaccio,2019-09-13,41.92,8.7381,0.0,13.5,21.7
Guingamp|2019-09-13,Guingamp,2019-09-13,48.5608,-3.15,1.0,12.7,16.3
Le Havre|2019-09-13,Le Havre,2019-09-13,49.4833,0.1,1.1,17.1,18.3
Niort|2019-09-13,Niort,2019-09-13,46.3278,-0.4603,0.0,22.2,22.5
Rodez|2019-09-13,Rodez,2019-09-13,44.35,2.5667,0.0,12.0,20.4
Sochaux|2019-09-13,Sochaux,2019-09-13,47.5,6.8167,0.0,14.5,17.2
Troyes|2019-09-13,Troyes,2019-09-13,48.2956,4.0667,0.0,16.9,19.4
Paris SG|2019-09-14,Paris SG,2019-09-14,48.8414,2.253,0.0,13.6,19.9
Bordeaux|2019-09-14,Bordeaux,2019-09-14,44.8417,-0.5731,0.0,17.4,22.4
Brest|2019-09-14,Brest,2019-09-14,48.39,-4.4833,0.0,16.3,18.3
