Date,Div,season,HomeTeam,AwayTeam,Result,GoalDiff,mu_model,mu_mkt,pH_n,pD_n,pA_n,pH_p,pD_p,pA_p,p_H_mkt,p_D_mkt,p_A_mkt
2023-09-23,D1,2023-24,Augsburg,Mainz,H,1.0,2.685801918759044,0.1132881062720554,0.8632103020583598,0.08151755879817628,0.05527213914346392,0.9106461275670197,0.08164804911397705,0.0076019024732644335,0.3822393822393822,0.277992277992278,0.3397683397683397
2023-09-23,D1,2023-24,Bayern Munich,Bochum,H,7.0,3.9979086484294193,2.7698842363159457,0.960120331406716,0.027749430036870394,0.012130238556413563,0.9504050982541199,0.044871560733749885,0.00406801542295986,0.8620689655172414,0.0919540229885057,0.0459770114942528
2023-09-23,D1,2023-24,Dortmund,Wolfsburg,H,1.0,-0.14339838099569807,0.931364232432816,0.37362222829217995,0.1972596828327859,0.42911808887503416,0.33572626543309125,0.2616865499263302,0.40258684562035457,0.561148958841066,0.2209047937519128,0.2179462474070211
2023-09-24,D1,2023-24,Leverkusen,Heidenheim,H,3.0,3.9482854716663036,2.3290852543125204,0.9579366534196101,0.029127187821851065,0.01293615875853884,0.9493175752402985,0.045900246563079006,0.004165377938586805,0.8065736219605871,0.1223626228005947,0.0710637552388182
2023-09-24,D1,2023-24,Ein Frankfurt,Freiburg,D,0.0,0.10386660382059765,0.4269445333040385,0.42135778634084664,0.1974966957748724,0.38114551788428097,0.39319104922089143,0.26206621250941736,0.3447424177424424,0.4404410757170365,0.2777781784351765,0.281780745847787
2023-09-29,D1,2023-24,Hoffenheim,Dortmund,A,-2.0,1.4757038841507544,-0.3615469920806498,0.6874817907042183,0.15133820302523948,0.1611800062705422,0.7211457014626481,0.18649299075536488,0.09235088791241405,0.3135194037021435,0.2357061541085994,0.4507744421892571
2023-09-30,D1,2023-24,Bochum,M'gladbach,A,-2.0,-1.680743843786154,0.319527427393552,0.13734553434853225,0.13977116675425671,0.722883298897211,0.06776051400161967,0.1670429799026364,0.7651802580875242,0.4305228774756289,0.2592273028832036,0.3102498196411675
2023-09-30,D1,2023-24,FC Koln,Stuttgart,A,-2.0,-1.9748503517848146,-0.1108000708840767,0.10755436192231183,0.12247661604174753,0.7699690220359406,0.03889772472899048,0.1376052504140752,0.8234675862493113,0.342412830822781,0.2735476804897077,0.3840394886875112
2023-09-30,D1,2023-24,Heidenheim,Union Berlin,H,1.0,0.43901572127637917,-0.2988679795034715,0.48781552216654056,0.19313129742216817,0.31905318041129127,0.4740746562704245,0.25505968864733747,0.2708649560026141,0.3062171208166881,0.2758556499141837,0.417927229269128
2023-09-30,D1,2023-24,Mainz,Leverkusen,A,-3.0,-4.839346052427826,-1.1407020831747228,0.003742590885238428,0.011126666054853684,0.9851307430599079,0.002723833307180735,0.030543476950569158,0.965053390860215,0.1857919914462452,0.2157982201532716,0.5984097884004832
2023-09-30,D1,2023-24,Wolfsburg,Ein Frankfurt,H,2.0,1.963915037199715,0.4439826590001979,0.7683023204327635,0.12312643835479553,0.108571241212441,0.82141436580473,0.13871855246341572,0.039838262346805195,0.4426209483297526,0.2794835130882152,0.2778955385820321
2023-09-30,D1,2023-24,RB Leipzig,Bayern Munich,D,0.0,0.5285821062069096,-0.8268958867085182,0.5057113129699984,0.1910860357867334,0.30320265124326823,0.49600321016613075,0.2517669881778602,0.2522288961780207,0.2375622660874335,0.2169735363598559,0.5454641975527106
2023-10-01,D1,2023-24,Darmstadt,Werder Bremen,H,2.0,-0.18887169970904477,-0.2767011238290925,0.3650275510091189,0.19689387977132589,0.43807856921955524,0.3254463261760413,0.2611004151028745,0.4134528907090193,0.3204760695235676,0.2545447948038754,0.4249791356725571
2023-10-01,D1,2023-24,Freiburg,Augsburg,H,2.0,0.037747006941365624,0.755809843975872,0.4084476148782532,0.19772400064032486,0.39382838448142193,0.3775917724405762,0.26243024372130275,0.3599776808324614,0.5067737208489517,0.2636316121936594,0.2295946669573888
2023-10-06,D1,2023-24,M'gladbach,Mainz,D,0.0,2.7575461406710255,0.3246939331770277,0.8709289000366236,0.07769846826971054,0.05137263169366586,0.9135149454516494,0.079021959272327,0.007346461653041242,0.4330722830859594,0.2562155392079236,0.3107121777061169
2023-10-07,D1,2023-24,Werder Bremen,Hoffenheim,A,-1.0,-1.0082703612129258,-0.0486887595122301,0.22497909201644628,0.17454081223562845,0.6004800957479253,0.16214018296011462,0.22489350747562148,0.6129629095656617,0.3634642688121154,0.2546142924751537,0.3819214387127306
2023-10-07,D1,2023-24,Stuttgart,Wolfsburg,H,2.0,1.5621151211135347,0.7705811205875454,0.702639742726241,0.14653553683025305,0.15082472044350598,0.7400101090970113,0.17844150887139668,0.081535776561567,0.5193524446848389,0.2459402005056667,0.2347073548094944
2023-10-07,D1,2023-24,RB Leipzig,Bochum,D,0.0,5.031050296012691,2.1186597114124175,0.9883834430940307,0.00881782008023567,0.0027987368257336295,0.9674971756784397,0.027978466650404533,0.0024859074327263234,0.7706398996235884,0.1457967377666248,0.0835633626097867
2023-10-07,D1,2023-24,Augsburg,Darmstadt,A,-1.0,0.6520514802949025,0.877579481421666,0.5303548099822872,0.18769456797183426,0.2819506220458785,0.5262901025581979,0.24629285309946908,0.22741575238296843,0.529008430835364,0.2609774925454463,0.2100140766191896
2023-10-07,D1,2023-24,Dortmund,Union Berlin,H,2.0,1.0620922650979958,1.0302103048664173,0.6108553545813815,0.172167760037662,0.2169768853809565,0.6258371128756834,0.22100432829670894,0.15315465839893372,0.5700811183271305,0.2337742715442189,0.1961446101286505
2023-10-08,D1,2023-24,Leverkusen,FC Koln,H,3.0,3.9996709830668777,2.0590208585679193,0.9601961561096473,0.027701408378521156,0.012102435511831587,0.9504432175395177,0.044835452924194656,0.004064599790292818,0.7586047576072923,0.1546200779836519,0.0867751644090557
2023-10-08,D1,2023-24,Bayern Munich,Freiburg,H,3.0,3.450375742414489,2.7844322003635793,0.9302730610993772,0.04580331342273603,0.023923625477886727,0.9367800949061363,0.05761504761258656,0.005280923284745544,0.8656873032528857,0.0881427072402938,0.0461699895068205
2023-10-08,D1,2023-24,Ein Frankfurt,Heidenheim,H,2.0,-0.6142164467139495,0.8760294278359884,0.28838627658164906,0.18880251181074859,0.5228112116076024,0.23490731303530352,0.24808311967980812,0.517008407868428,0.5346031058925382,0.2508522266111141,0.2145446674963476
2023-10-20,D1,2023-24,Dortmund,Werder Bremen,H,1.0,2.1215083933296235,1.9603391759073552,0.7916630175456536,0.1137623309862813,0.0945746514680651,0.8500888001322826,0.12262667336555765,0.02724560506470028,0.7554783967820177,0.1428378652704553,0.101683737947527
2023-10-21,D1,2023-24,Mainz,Bayern Munich,A,-2.0,-3.6910389513365573,-1.846943245149669,0.017896574854426084,0.03708322716565626,0.9450201979799177,0.004708695539553024,0.05162154145937222,0.9432237802879972,0.1103927434140693,0.1553282511499244,0.7342790054360063
2023-10-21,D1,2023-24,Wolfsburg,Leverkusen,A,-1.0,-1.7385402891117834,-0.8892024272093764,0.1310858092014785,0.13641854940015563,0.7324956413983659,0.061496977908972586,0.16136877744622827,0.7771159135881354,0.218112120107086,0.2372168313573416,0.5446710485355722
