sample,half_life,market_weight,rmse,seasons,hl_bin,mw_bin
155,185.0,0.6008404079450809,1.5865538797083643,"['2015-16', '2021-22', '2023-24', '2018-19']",121-270,0.6-0.8
156,35.0,0.11967255586489434,1.7356032159352652,"['2020-21', '2021-22', '2016-17', '2015-16']",30-60,0.0-0.2
157,159.0,0.3649193610782525,1.6382411640236856,"['2017-18', '2016-17', '2019-20', '2023-24']",121-270,0.2-0.4
158,,0.9584291809009724,1.5571523047816938,"['2015-16', '2022-23', '2017-18', '2020-21']",271-730,0.8-1.0
159,35.0,0.9954644725836371,1.5631546187373664,"['2023-24', '2018-19', '2017-18', '2019-20']",30-60,0.8-1.0
160,41.0,0.7721048913545856,1.5828191937329001,"['2021-22', '2023-24', '2015-16', '2019-20']",30-60,0.6-0.8
161,535.0,0.3109615099207662,1.6401452659870768,"['2021-22', '2015-16', '2018-19', '2022-23']",271-730,0.2-0.4
162,388.0,0.6876650491660925,1.5756864486582425,"['2022-23', '2019-20', '2017-18', '2016-17']",271-730,0.6-0.8
163,233.0,0.7054063654840127,1.5836034643216748,"['2020-21', '2021-22', '2015-16', '2017-18']",121-270,0.6-0.8
164,46.0,0.38784169516364975,1.6528322867257967,"['2022-23', '2019-20', '2020-21', '2023-24']",30-60,0.2-0.4
165,154.0,0.6408886345861594,1.586955076591193,"['2021-22', '2020-21', '2016-17', '2023-24']",121-270,0.6-0.8
166,131.0,0.010727644975676243,1.7457744174653025,"['2016-17', '2021-22', '2023-24', '2017-18']",121-270,0.0-0.2
167,231.0,0.20905765860224146,1.6643372860736243,"['2017-18', '2023-24', '2015-16', '2016-17']",121-270,0.2-0.4
168,46.0,0.5250883029672612,1.5866712719304077,"['2023-24', '2016-17', '2015-16', '2018-19']",30-60,0.4-0.6
169,113.0,0.16375130425829587,1.6881966005182325,"['2019-20', '2015-16', '2018-19', '2022-23']",61-120,0.0-0.2
170,96.0,0.16590686787653364,1.6805432775482214,"['2016-17', '2023-24', '2015-16', '2017-18']",61-120,0.0-0.2
171,85.0,0.8363042905502379,1.5609523255990556,"['2018-19', '2022-23', '2019-20', '2023-24']",61-120,0.8-1.0
172,267.0,0.9891330026836055,1.5811818883421913,"['2021-22', '2023-24', '2017-18', '2019-20']",121-270,0.8-1.0
173,620.0,0.5559694280284484,1.5947254980359566,"['2016-17', '2019-20', '2022-23', '2023-24']",271-730,0.4-0.6
174,139.0,0.8390697308817134,1.554458514880857,"['2023-24', '2017-18', '2016-17', '2018-19']",121-270,0.8-1.0
175,165.0,0.9903216643262726,1.579458216883935,"['2015-16', '2023-24', '2021-22', '2019-20']",121-270,0.8-1.0
176,240.0,0.1415958885687747,1.68769691655457,"['2023-24', '2022-23', '2016-17', '2015-16']",121-270,0.0-0.2
177,164.0,0.4482456132543511,1.6225411962287,"['2021-22', '2023-24', '2020-21', '2016-17']",121-270,0.4-0.6
178,75.0,0.3925727158419199,1.627821511322265,"['2020-21', '2017-18', '2016-17', '2022-23']",61-120,0.2-0.4
179,57.0,0.08004928364618502,1.7269348494991266,"['2023-24', '2016-17', '2018-19', '2020-21']",30-60,0.0-0.2
180,468.0,0.7553301727947445,1.5769507061545665,"['2021-22', '2022-23', '2017-18', '2020-21']",271-730,0.6-0.8
181,,0.433779027322593,1.619105668638192,"['2023-24', '2018-19', '2017-18', '2021-22']",271-730,0.4-0.6
182,40.0,0.4693269341904013,1.6079653861143939,"['2018-19', '2022-23', '2020-21', '2015-16']",30-60,0.4-0.6
183,39.0,0.15067297381324019,1.700121393813656,"['2018-19', '2017-18', '2016-17', '2023-24']",30-60,0.0-0.2
184,46.0,0.18092665223086812,1.6837276880881515,"['2018-19', '2016-17', '2017-18', '2023-24']",30-60,0.0-0.2
185,386.0,0.907103622156215,1.5607060176540304,"['2018-19', '2019-20', '2016-17', '2017-18']",271-730,0.8-1.0
186,364.0,0.04464908897427888,1.7415860817186617,"['2017-18', '2015-16', '2023-24', '2020-21']",271-730,0.0-0.2
187,614.0,0.23285228494370624,1.6911950451277804,"['2023-24', '2021-22', '2022-23', '2020-21']",271-730,0.2-0.4
188,197.0,0.29205933031452835,1.6552465938143854,"['2018-19', '2015-16', '2021-22', '2019-20']",121-270,0.2-0.4
