"id","matchDate","Country","League","Season","homeTeam","awayTeam","referee","FTHG","FTAG","FTR"
"74751","25-11-25 21:00","Europe","Champions League","2025/2026","Chelsea","Barcelona","Slavko Vinčić","3","0","H"
"74752","25-11-25 21:00","Europe","Champions League","2025/2026","Dortmund","Villarreal","Davide Massa","4","0","H"
"74753","25-11-25 21:00","Europe","Champions League","2025/2026","Manchester City","Bayer Leverkusen","Jonathan Benkenstein Pinheiro","0","2","A"
"74754","25-11-25 21:00","Europe","Champions League","2025/2026","Marseille","Newcastle","Maurizio Mariani","2","1","H"
"74755","25-11-25 21:00","Europe","Champions League","2025/2026","Napoli","Qarabag","Szymon Marciniak","2","0","H"
"74756","25-11-25 21:00","Europe","Champions League","2025/2026","Slavia Prague","Ath Bilbao","Donatas Rumsas","0","0","D"
"74757","25-11-25 18:45","Europe","Champions League","2025/2026","Ajax","Benfica","Sven Jablonski","0","2","A"
"74758","25-11-25 18:45","Europe","Champions League","2025/2026","Galatasaray","Royale Union SG","José María Sánchez Martínez","0","1","A"
"74323","05-11-25 21:00","Europe","Champions League","2025/2026","Ajax","Galatasaray","Benoît Bastien","0","3","A"
"74324","05-11-25 21:00","Europe","Champions League","2025/2026","Benfica","Bayer Leverkusen","Simone Sozza","0","1","A"
"74325","05-11-25 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Barcelona","Anthony Taylor","3","3","D"
"74326","05-11-25 21:00","Europe","Champions League","2025/2026","Inter","Kairat Almaty","Luís Godinho","2","1","H"
"74327","05-11-25 21:00","Europe","Champions League","2025/2026","Manchester City","Dortmund","Szymon Marciniak","4","1","H"
"74328","05-11-25 21:00","Europe","Champions League","2025/2026","Marseille","Atalanta","José María Sánchez Martínez","0","1","A"
"74329","05-11-25 21:00","Europe","Champions League","2025/2026","Newcastle","Ath Bilbao","Ivan Kružliak","2","0","H"
"74330","05-11-25 18:45","Europe","Champions League","2025/2026","Pafos","Villarreal","Sven Jablonski","1","0","H"
"74331","05-11-25 18:45","Europe","Champions League","2025/2026","Qarabag","Chelsea","Sebastian Gishamer","2","2","D"
"74305","04-11-25 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Royale Union SG","Espen Eskas","3","1","H"
"74306","04-11-25 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Monaco","Damian Sylwestrzak","0","1","A"
"74307","04-11-25 21:00","Europe","Champions League","2025/2026","Juventus","Sporting CP","Daniel Siebert","1","1","D"
"74308","04-11-25 21:00","Europe","Champions League","2025/2026","Liverpool","Real Madrid","Istvan Kovacs","1","0","H"
"74309","04-11-25 21:00","Europe","Champions League","2025/2026","Olympiacos Piraeus","PSV","Clement Turpin","1","1","D"
"74310","04-11-25 21:00","Europe","Champions League","2025/2026","PSG","Bayern Munich","Maurizio Mariani","1","2","A"
"74311","04-11-25 21:00","Europe","Champions League","2025/2026","Tottenham","FC Copenhagen","Eric Lambrechts","4","0","H"
"74312","04-11-25 18:45","Europe","Champions League","2025/2026","Napoli","Eintracht Frankfurt","Jonathan Benkenstein Pinheiro","0","0","D"
"74313","04-11-25 18:45","Europe","Champions League","2025/2026","Slavia Prague","Arsenal","Aliyar Aghayev","0","3","A"
"67332","22-10-25 21:00","Europe","Champions League","2025/2026","Atalanta","Slavia Prague","Ricardo De Burgos Bengoetxea","0","0","D"
"67333","22-10-25 21:00","Europe","Champions League","2025/2026","Bayern Munich","Club Brugge KV","Donatas Rumsas","4","0","H"
"67334","22-10-25 21:00","Europe","Champions League","2025/2026","Chelsea","Ajax","Felix Zwayer","5","1","H"
"67335","22-10-25 21:00","Europe","Champions League","2025/2026","Eintracht Frankfurt","Liverpool","François Letexier","1","5","A"
"67336","22-10-25 21:00","Europe","Champions League","2025/2026","Monaco","Tottenham","Marco Guida","0","0","D"
"67337","22-10-25 21:00","Europe","Champions League","2025/2026","Real Madrid","Juventus","Slavko Vinčić","1","0","H"
"67338","22-10-25 21:00","Europe","Champions League","2025/2026","Sporting CP","Marseille","Rade Obrenovič","2","1","H"
"67339","22-10-25 18:45","Europe","Champions League","2025/2026","Ath Bilbao","Qarabag","Igor Pajač","3","1","H"
"67340","22-10-25 18:45","Europe","Champions League","2025/2026","Galatasaray","Bodo/Glimt","Michael Oliver","3","1","H"
"67319","21-10-25 21:00","Europe","Champions League","2025/2026","Arsenal","Atl. Madrid","Davide Massa","4","0","H"
"67320","21-10-25 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","PSG","Jesus Gil Manzano","2","7","A"
"67321","21-10-25 21:00","Europe","Champions League","2025/2026","FC Copenhagen","Dortmund","Danny Makkelie","2","4","A"
"67322","21-10-25 21:00","Europe","Champions League","2025/2026","Newcastle","Benfica","Szymon Marciniak","3","0","H"
"67323","21-10-25 21:00","Europe","Champions League","2025/2026","PSV","Napoli","Daniel Siebert","6","2","H"
"67324","21-10-25 21:00","Europe","Champions League","2025/2026","Royale Union SG","Inter","Glenn Nyberg","0","4","A"
"67325","21-10-25 21:00","Europe","Champions League","2025/2026","Villarreal","Manchester City","Serdar Gozubuyuk","0","2","A"
"67326","21-10-25 18:45","Europe","Champions League","2025/2026","Barcelona","Olympiacos Piraeus","Urs Schnyder","6","1","H"
"67327","21-10-25 18:45","Europe","Champions League","2025/2026","Kairat Almaty","Pafos","Chris Kavanagh","0","0","D"
