"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"75201","10-12-25 18:45","Europe","Champions League","2025/2026","Villarreal","FC Copenhagen","1.44","5.39","6.67","1.02","25.00","1.13","6.00","1.39","3.00","2.08","1.80","3.30","1.34","1.57","2.41"
"75177","09-12-25 21:00","Europe","Champions League","2025/2026","Atalanta","Chelsea","3.70","3.58","2.08","1.04","11.60","1.23","4.21","1.78","2.10","2.98","1.39","5.36","1.16","1.65","2.24"
"75178","09-12-25 21:00","Europe","Champions League","2025/2026","Barcelona","Eintracht Frankfurt","1.16","10.10","14.70","1.01","34.00","1.04","11.60","1.16","5.26","1.42","2.90","1.98","1.88","1.57","2.41"
"75179","09-12-25 21:00","Europe","Champions League","2025/2026","Inter","Liverpool","2.05","3.79","3.58","1.02","13.70","1.20","4.56","1.71","2.21","2.65","1.49","4.87","1.18","1.60","2.34"
"75180","09-12-25 21:00","Europe","Champions League","2025/2026","Monaco","Galatasaray","2.03","4.00","3.49","1.01","20.00","1.12","6.32","1.42","2.90","2.09","1.80","3.36","1.33","1.42","2.89"
"75181","09-12-25 21:00","Europe","Champions League","2025/2026","PSV","Atl. Madrid","3.10","3.87","2.22","1.01","19.50","1.15","5.50","1.49","2.63","2.21","1.67","3.96","1.25","1.48","2.68"
"75182","09-12-25 21:00","Europe","Champions League","2025/2026","Royale Union SG","Marseille","3.23","3.58","2.26","1.03","13.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.65","2.24"
"75183","09-12-25 21:00","Europe","Champions League","2025/2026","Tottenham","Slavia Prague","1.46","4.63","7.71","1.03","13.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.98","1.83"
"75184","09-12-25 18:45","Europe","Champions League","2025/2026","Bayern Munich","Sporting CP","1.22","7.49","13.50","1.01","22.00","1.10","6.84","1.33","3.37","1.86","2.01","2.82","1.43","1.72","2.12"
"75185","09-12-25 16:30","Europe","Champions League","2025/2026","Kairat Almaty","Olympiacos Piraeus","7.26","4.87","1.46","1.02","13.70","1.20","4.56","1.61","2.32","2.47","1.54","4.34","1.22","1.83","1.98"
"74770","26-11-25 21:00","Europe","Champions League","2025/2026","Arsenal","Bayern Munich","2.06","3.78","3.57","1.02","13.80","1.23","4.25","1.77","2.13","2.79","1.44","5.31","1.16","1.63","2.29"
"74771","26-11-25 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Inter","2.53","3.57","2.82","1.02","13.70","1.23","4.21","1.78","2.10","2.82","1.43","5.36","1.16","1.60","2.34"
"74772","26-11-25 21:00","Europe","Champions League","2025/2026","Eintracht Frankfurt","Atalanta","2.83","3.69","2.46","1.03","13.00","1.22","4.33","1.78","2.10","2.78","1.45","5.11","1.17","1.57","2.41"
"74773","26-11-25 21:00","Europe","Champions League","2025/2026","Liverpool","PSV","1.26","7.88","9.41","1.01","25.00","1.06","9.00","1.25","4.00","1.67","2.20","2.41","1.57","1.53","2.53"
"74774","26-11-25 21:00","Europe","Champions League","2025/2026","Olympiacos Piraeus","Real Madrid","4.73","4.62","1.66","1.01","21.00","1.15","5.50","1.45","2.75","2.21","1.67","3.64","1.29","1.52","2.54"
"74775","26-11-25 21:00","Europe","Champions League","2025/2026","PSG","Tottenham","1.42","5.09","7.76","1.01","17.00","1.19","4.74","1.57","2.42","2.38","1.58","4.34","1.22","1.76","2.06"
"74776","26-11-25 21:00","Europe","Champions League","2025/2026","Sporting CP","Club Brugge KV","1.56","4.61","5.85","1.02","18.50","1.17","5.00","1.53","2.50","2.31","1.62","3.96","1.25","1.60","2.34"
"74777","26-11-25 18:45","Europe","Champions League","2025/2026","FC Copenhagen","Kairat Almaty","1.30","5.61","11.60","1.03","12.30","1.24","4.09","1.88","1.98","2.95","1.40","5.43","1.15","2.16","1.70"
"74778","26-11-25 18:45","Europe","Champions League","2025/2026","Pafos","Monaco","5.78","4.85","1.54","1.02","15.00","1.21","4.50","1.62","2.30","2.50","1.54","4.56","1.20","1.72","2.12"
"74750","25-11-25 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Juventus","3.28","3.80","2.17","1.02","15.00","1.21","4.50","1.67","2.20","2.59","1.50","4.56","1.20","1.57","2.42"
"74751","25-11-25 21:00","Europe","Champions League","2025/2026","Chelsea","Barcelona","2.26","4.03","2.93","1.01","20.00","1.14","5.85","1.44","2.79","2.06","1.82","3.43","1.31","1.44","2.79"
"74752","25-11-25 21:00","Europe","Champions League","2025/2026","Dortmund","Villarreal","1.95","3.69","4.05","1.03","13.00","1.22","4.33","1.78","2.10","2.78","1.45","5.11","1.17","1.60","2.34"
"74753","25-11-25 21:00","Europe","Champions League","2025/2026","Manchester City","Bayer Leverkusen","1.41","5.13","8.10","1.02","17.50","1.14","5.79","1.45","2.77","2.10","1.73","3.46","1.31","1.68","2.18"
"74754","25-11-25 21:00","Europe","Champions League","2025/2026","Marseille","Newcastle","3.14","3.54","2.33","1.03","13.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.60","2.34"
"74755","25-11-25 21:00","Europe","Champions League","2025/2026","Napoli","Qarabag","1.21","7.25","15.80","1.02","19.50","1.15","5.50","1.49","2.63","2.21","1.67","3.64","1.29","2.06","1.76"
"74756","25-11-25 21:00","Europe","Champions League","2025/2026","Slavia Prague","Ath Bilbao","3.12","3.23","2.50","1.06","9.00","1.35","3.20","2.19","1.73","3.96","1.25","7.73","1.09","1.83","1.98"
"74757","25-11-25 18:45","Europe","Champions League","2025/2026","Ajax","Benfica","4.21","3.69","1.91","1.03","11.70","1.25","3.99","1.84","2.03","3.12","1.37","5.76","1.14","1.72","2.12"
"74758","25-11-25 18:45","Europe","Champions League","2025/2026","Galatasaray","Royale Union SG","1.74","4.19","4.57","1.02","18.50","1.17","5.00","1.49","2.63","2.21","1.67","3.96","1.25","1.49","2.64"
"74323","05-11-25 21:00","Europe","Champions League","2025/2026","Ajax","Galatasaray","3.67","3.90","1.99","1.02","16.50","1.16","5.26","1.57","2.42","2.29","1.63","4.06","1.24","1.53","2.53"
"74324","05-11-25 21:00","Europe","Champions League","2025/2026","Benfica","Bayer Leverkusen","1.94","3.78","3.98","1.01","16.00","1.19","4.74","1.61","2.32","2.38","1.58","4.34","1.22","1.57","2.41"
"74325","05-11-25 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Barcelona","5.95","5.08","1.50","1.01","29.00","1.10","7.00","1.32","3.40","1.86","2.00","2.78","1.45","1.46","2.71"
"74326","05-11-25 21:00","Europe","Champions League","2025/2026","Inter","Kairat Almaty","1.03","24.00","64.00","1.01","34.00","1.04","11.00","1.17","5.00","1.45","2.75","2.08","1.80","3.65","1.29"
"74327","05-11-25 21:00","Europe","Champions League","2025/2026","Manchester City","Dortmund","1.40","5.64","7.18","1.01","21.00","1.15","5.50","1.45","2.75","2.19","1.73","3.53","1.30","1.68","2.18"
"74328","05-11-25 21:00","Europe","Champions League","2025/2026","Marseille","Atalanta","2.22","3.57","3.34","1.03","13.00","1.22","4.33","1.78","2.10","2.78","1.45","5.11","1.17","1.57","2.41"
"74329","05-11-25 21:00","Europe","Champions League","2025/2026","Newcastle","Ath Bilbao","1.37","5.36","8.66","1.03","13.00","1.22","4.33","1.78","2.10","2.78","1.45","5.11","1.17","2.02","1.80"
"74330","05-11-25 18:45","Europe","Champions League","2025/2026","Pafos","Villarreal","9.63","6.18","1.31","1.01","17.00","1.20","4.56","1.61","2.32","2.65","1.49","4.87","1.18","2.16","1.70"
"74331","05-11-25 18:45","Europe","Champions League","2025/2026","Qarabag","Chelsea","8.32","5.80","1.35","1.01","21.00","1.15","5.50","1.45","2.75","2.21","1.67","3.64","1.29","1.72","2.12"
"74305","04-11-25 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Royale Union SG","1.29","6.63","9.67","1.01","19.50","1.17","5.00","1.49","2.63","2.31","1.62","3.96","1.25","1.98","1.83"
"74306","04-11-25 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Monaco","2.31","4.10","2.82","1.01","28.00","1.08","8.00","1.30","3.50","1.86","2.00","2.78","1.45","1.31","3.44"
"74307","04-11-25 21:00","Europe","Champions League","2025/2026","Juventus","Sporting CP","1.93","3.52","4.36","1.04","11.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.68","2.18"
"74308","04-11-25 21:00","Europe","Champions League","2025/2026","Liverpool","Real Madrid","2.57","3.89","2.61","1.01","23.00","1.13","6.00","1.39","3.00","2.08","1.80","3.30","1.34","1.38","3.04"
"74309","04-11-25 21:00","Europe","Champions League","2025/2026","Olympiacos Piraeus","PSV","2.78","3.76","2.47","1.02","18.50","1.15","5.50","1.49","2.63","2.21","1.67","3.64","1.29","1.48","2.68"
"74310","04-11-25 21:00","Europe","Champions League","2025/2026","PSG","Bayern Munich","2.52","3.67","2.77","1.01","21.00","1.12","6.32","1.42","2.90","2.09","1.80","3.36","1.33","1.41","2.94"
"74311","04-11-25 21:00","Europe","Champions League","2025/2026","Tottenham","FC Copenhagen","1.55","4.47","6.19","1.02","13.70","1.23","4.21","1.78","2.10","2.82","1.43","5.36","1.16","1.83","1.98"
"74312","04-11-25 18:45","Europe","Champions League","2025/2026","Napoli","Eintracht Frankfurt","1.63","4.30","5.37","1.01","16.00","1.21","4.50","1.67","2.20","2.59","1.50","4.56","1.20","1.68","2.18"
"74313","04-11-25 18:45","Europe","Champions League","2025/2026","Slavia Prague","Arsenal","12.50","7.00","1.24","1.02","13.80","1.20","4.61","1.70","2.23","2.62","1.49","4.82","1.18","2.44","1.56"
"67332","22-10-25 21:00","Europe","Champions League","2025/2026","Atalanta","Slavia Prague","1.33","5.77","9.45","1.02","15.00","1.21","4.50","1.58","2.38","2.41","1.57","4.27","1.22","1.90","1.90"
"67333","22-10-25 21:00","Europe","Champions League","2025/2026","Bayern Munich","Club Brugge KV","1.12","11.40","19.30","1.01","29.00","1.05","10.00","1.21","4.50","1.53","2.50","2.21","1.67","1.78","2.04"
"67334","22-10-25 21:00","Europe","Champions League","2025/2026","Chelsea","Ajax","1.33","5.88","9.20","1.01","22.00","1.15","5.50","1.45","2.75","2.19","1.73","3.53","1.30","1.65","2.24"
"67335","22-10-25 21:00","Europe","Champions League","2025/2026","Eintracht Frankfurt","Liverpool","5.45","4.86","1.56","1.01","28.00","1.10","7.00","1.32","3.40","1.86","2.00","2.96","1.40","1.41","2.94"
"67336","22-10-25 21:00","Europe","Champions League","2025/2026","Monaco","Tottenham","3.26","3.58","2.25","","","1.19","4.74","1.61","2.32","2.47","1.54","4.34","1.22","1.53","2.53"
"67337","22-10-25 21:00","Europe","Champions League","2025/2026","Real Madrid","Juventus","1.46","5.14","6.49","1.01","20.00","1.15","5.50","1.49","2.63","2.21","1.67","3.64","1.29","1.65","2.24"
"67338","22-10-25 21:00","Europe","Champions League","2025/2026","Sporting CP","Marseille","2.28","3.67","3.13","1.02","15.00","1.21","4.50","1.62","2.30","2.50","1.54","4.56","1.20","1.49","2.64"
"67339","22-10-25 18:45","Europe","Champions League","2025/2026","Ath Bilbao","Qarabag","1.34","5.90","8.61","1.02","17.50","1.17","5.00","1.58","2.38","2.41","1.57","4.27","1.22","1.83","1.98"
"67340","22-10-25 18:45","Europe","Champions League","2025/2026","Galatasaray","Bodo/Glimt","1.58","4.66","5.45","1.01","28.00","1.09","7.37","1.33","3.37","1.86","2.01","2.82","1.43","1.44","2.79"
"67319","21-10-25 21:00","Europe","Champions League","2025/2026","Arsenal","Atl. Madrid","1.59","4.20","6.14","1.04","11.60","1.25","3.95","1.86","2.01","2.98","1.39","5.82","1.14","1.89","1.92"
